id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,90,2021-05-21,0.563,0.664,9,-5.044,1,0.335,0.0,0.0849,0.688,166.928,178147,4
4Gt2kh3QbAGU6yquOWn4aW,Fake,Conan Gray,70,2020-10-13,0.703,0.657,4,-5.363,1,0.139,0.0,0.093,0.455,82.96,146375,4
5OdNjYTpLjuDDPCBNWonRX,At My Worst (feat. Kehlani),Kehlani,64,2021-02-12,0.731,0.484,0,-5.579,1,0.73,3.01e-06,0.326,0.35,92.043,169128,4
5K6Ssv4Z3zRvxt0P6EKUAP,Heartbreak Anthem (with David Guetta & Little Mix),Little Mix,81,2021-05-20,0.595,0.784,1,-4.878,1,0.216,0.0,0.0608,0.479,124.111,183726,4
7uidJM7xBikobIitpHQKZ4,Drive You Home,Internet Money,59,2021-07-29,0.653,0.694,1,-6.284,1,0.0911,0.0,0.111,0.226,96.024,216164,4
2VhY69P0Q15rHfEKaMlR5x,dancing in the kitchen,LANY,64,2021-09-03,0.646,0.736,11,-7.658,1,0.0334,0.0,0.0807,0.28,94.024,208809,4
5sbkFKdxVQ2FgEjKMvrHAL,Echo (with KSHMR),KSHMR,57,2021-05-21,0.344,0.873,10,-3.387,1,0.0932,0.0,0.153,0.307,170.041,192353,4
6FoUUkUM4fVdh5pLZyxgjz,Automatic (feat. Jake Miller),Jake Miller,71,2020-11-20,0.6,0.529,8,-6.184,1,0.239,2.35e-05,0.099,0.371,134.966,157472,4
1qCHidBbWAgv3pn6UbZ4Lg,Don't Go Yet,Camila Cabello,71,2022-04-07,0.666,0.796,10,-6.967,0,0.0492,0.0,0.0442,0.61,110.108,164842,4
22VPpAWB7qzV8L9rgza11j,Hopeless Romantic,Sam Fischer,66,2021-10-15,0.654,0.636,8,-6.913,1,0.117,0.00179,0.0919,0.392,113.994,181178,4
2zI9NSx3dncJHCw0QClcx0,Know Me Too Well (with Danna Paola),Danna Paola,63,2020-02-14,0.757,0.708,1,-4.385,0,0.428,0.0,0.0635,0.798,122.916,200600,4
1Tf0qifzTHdDC9RnTW9Di3,Spaceman,Nick Jonas,56,2021-03-12,0.548,0.601,5,-7.366,0,0.324,0.0,0.107,0.358,155.554,197000,4
48oN0dm8zwleoUvuLBqIOp,Sunshine - From the Motion Picture “Ron’s Gone Wrong”,Liam Payne,59,2021-08-27,0.717,0.735,10,-5.764,0,0.0504,0.0,0.132,0.787,107.0,164000,4
2eAvDnpXP5W0cVtiI0PUxV,Dandelions,Ruth B.,88,2017-05-05,0.609,0.692,1,-2.958,1,0.0157,0.0,0.0864,0.454,116.959,233720,3
3pHt7ZLOM4GJQKqorMzeon,Fall So Hard,Christopher,59,2021-03-26,0.572,0.797,0,-4.181,1,0.0949,0.0,0.259,0.598,135.76,214720,4
24u37Wx6wCOeBAi8g203KC,Would You,The Vamps,56,2020-10-16,0.818,0.615,5,-5.536,1,0.0768,2.44e-06,0.142,0.498,102.936,181600,4
0KKOkGNYtITCL3fDJLwVUt,Natarang Ubha,Ajay-Atul,46,2010-01-01,0.736,0.61,10,-8.576,1,0.455,0.000168,0.0593,0.396,122.907,259082,4
5tB5Iu8fOaFQNV1vGFQtIU,Hrudayat Vaje Something,Vidhit Patankar,46,2016-12-16,0.736,0.558,2,-5.72,1,0.727,2.13e-06,0.0999,0.426,93.989,290623,4
23W211Anv5yA4g4j4L1q9s,Tu Havishi,Priyanka Barve,39,2015-07-03,0.325,0.585,11,-7.543,1,0.529,2.06e-06,0.0674,0.433,87.667,268408,5
2WQwk9YwLmwyOgDHa2WiVk,Man Mandira,Shankar Mahadevan,40,2015-07-09,0.478,0.594,4,-9.752,1,0.471,0.0,0.0718,0.536,107.636,279572,4
51viPhTkgIORUPTaukrPVa,Jara Jara,Aarya Ambekar,44,2016-12-16,0.629,0.632,9,-6.985,1,0.249,0.0,0.174,0.31,83.969,294834,4
2nfr9OCxsUju4sg10oRCxe,Sar Sukhachi Shravani,Bela Shende,45,2014-04-22,0.703,0.528,2,-8.264,1,0.519,0.0,0.116,0.465,133.983,397080,1
6wkoSXX89DPlykLFiCezao,Jau De Na Va,AV Prafullachandra,38,2018-11-10,0.701,0.272,11,-7.863,1,0.878,0.00412,0.182,0.589,104.972,302897,4
70OzwqFfeL0Mb3A9MUmA4R,"Saavar Re Mana - From ""Mitwaa""",Swapnil Bandodkar,40,2014-10-18,0.676,0.634,0,-4.956,1,0.385,0.0,0.141,0.363,134.04,339226,1
13ZSQwrx2EDXlAJYwEjak7,Sur Niragas Ho,Anandi Joshi,42,2015-07-09,0.447,0.495,9,-9.766,1,0.712,0.0,0.386,0.404,99.942,336947,4
52kQS6EanAQeM5CYiMOOtA,Tuzya Priticha Vinchu Chawla,Ajay,45,2014-02-14,0.757,0.935,4,-5.674,0,0.657,0.000116,0.141,0.694,129.953,310152,4
1as3se3lgcMyc3fv5ZqSiP,Kadhi Tu,Hrishikesh Ranade,47,2010-06-11,0.313,0.732,2,-4.466,1,0.5,0.0,0.222,0.51,88.918,338395,4
5jRoR9oR6ug3u3jiVznfCq,Aatach Baya Ka Baavarla,Shreya Ghoshal,44,2016-02-24,0.653,0.418,4,-8.905,1,0.317,0.00113,0.13,0.398,135.006,334079,4
5tG2nv8GjMZQ0gzqyngyTC,"Varyavarti Gandh - From ""Savarkhed Ek Gaon""",Kunal Ganjawala,41,2014-10-29,0.819,0.576,3,-7.501,0,0.298,0.00027,0.0872,0.894,95.013,294673,4
3h4SABo6CjPhJhWJK0rgrU,Zingaat,Atul Gogavale,50,2016-02-24,0.767,0.855,9,-8.775,1,0.473,0.219,0.165,0.677,130.01,226523,4
